Easting,Northing,Site_ID,Site_Name,County_Dis,Soil_Assoc,Soil_series,S_Subgrp1,S_Subgrp2,Soil_Text,Ersn_Risk,Terrain,Mean_grad_.,Min_grad_.,Max_grad_.,Slope_leng,Precip_mm,Precip_oth,Land_cover,Land_use,Crop_rotat,Land_Other,Stdy_Start,Stdy_Fin,Site_selection,Stdy_Scale,Stdy_Meth1,Stdy_Meth2,Stdy_Area,Stdy_num.field,Stdy_Othr,Rslt_Mean,Rslt_Med,Rslt_Min,Rslt_Max,Rslt_Vol,Rslt_Net,Rslt_Gross,Rslt_num.flds,Rslt_Analysis,Pathway_1,Pathway_2,Observ_1,Observ_2,Observ_3,Observ_4,Observ_5,Reference,Link,Note_a,Note_b,Note_b_1,Long,Lat
291500,79500,11,NA,Devon,541e,CREDITON,5.41,Typical brown earths,Clay loam,3,NA,NA,NA,25,NA,NA,102 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,31,NA,NA,1.5,0.89,0.16,3.3,NA,NA,NA,NA,1.5,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-3.534626283,50.60509893
295500,83500,12,NA,Devon,551a,BRIDGNORTH,5.51,Typical brown sands,Loamy sand / Sandy loam,5,NA,NA,NA,29,NA,NA,104 (a),Arable,NA,NA,NA,1990,1994,1,Catchment,Volumetric survey,NA,10,NA,NA,0.88,0.08,0,4.6,NA,NA,NA,NA,0.88,Water,NA,NA,NA,NA,NA,NA,"Chambers, B. J. and T. W. D. Garwood (2000). ""Monitoring of water erosion on arable farms in England and Wales. 1990-94."" Soil Use and Management 16(2): 93-99.",http://onlinelibrary.wiley.com/doi/10.1111/j.1475-2743.2000.tb00181.x/pdf,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-3.479248936,50.64178911
289500,100500,13,NA,Devon,541e,CREDITON,5.41,Typical brown earths,NA,3,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,1.9,5.3,NA,1.9,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-3.569167426,50.79349935
340500,116500,14,NA,Somerset,541m,SOUTH PETHERTON,5.41,Typical brown earths,NA,4,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,2.2,4.6,NA,2.2,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,Mean rainfall during study period as a percentage of the UK long-term average (1961-1990),NA,NA,-2.84829581,50.94485305
361500,82500,15,NA,Dorset,411a,Evesham 1,4.11,Typical calcareous pelosols,NA,1,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,3.1,5.2,NA,3.1,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,-2.545826081,50.64090937
344500,210500,16,NA,Gwent,571b,BROMYARD,5.71,Typical argillic brown earths,NA,3,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,1.9,5.1,NA,1.9,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,-2.806074517,51.79038739
364500,248500,17,NA,Herefordshire,571b,BROMYARD,5.71,Typical argillic brown earths,NA,3,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,2.8,6.4,NA,2.8,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,-2.520059682,52.13365286
461500,358500,18,NA,Nottinghamshire,551b,CUCKNEY 1,5.51,Typical brown sands,NA,5,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,10.5,12.2,NA,10.5,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,-1.08251624,53.120138
507500,263500,19,NA,Bedfordshire,411d,HANSLOPE,4.11,Typical calcareous pelosols,NA,2 (a),NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,1.2,3.6,NA,1.2,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,Locally risk of erosion greater,NA,NA,-0.426403702,52.25917329
506500,262500,20,NA,Bedfordshire,411d,HANSLOPE,4.11,Typical calcareous pelosols,NA,2 (a),NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,0.6,2.2,NA,0.6,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,Locally risk of erosion greater,NA,NA,-0.441364172,52.25038061
611500,335500,21,NA,Norfolk,551g,NEWPORT 4,5.51,Typical brown sands,NA,3,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,3.2,1,NA,NA,NA,NA,NA,NA,3,6.3,NA,3,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,1.141373016,52.8753726
632500,154500,22,NA,Kent,511f,COOMBE 1,5.11,Typical brown calcareous earths,NA,2 (a),NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,4.3,7.7,NA,4.3,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,Locally risk of erosion greater,NA,NA,1.329699971,51.24226717
541500,110500,23,NA,East Sussex,343h,ANDOVER 1,3.43,Brown rendzinas,Silty clay loam,3,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,1.4,4.3,NA,1.4,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,"Grid reference for nearest town, not study site.",NA,NA,0.009871027,50.87668113
377500,294500,24,NA,Shropshire,551a,BRIDGNORTH,5.51,Typical brown sands,NA,5,NA,NA,NA,NA,NA,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,6.5,10.2,NA,6.5,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,-2.333234812,52.54787875
585500,336500,25,NA,Norfolk,343g,Newmarket 2,3.43,Brown rendzinas,NA,3,NA,NA,NA,NA,260,NA,NA,Arable,NA,NA,NA,1987,1989,1,Field,Caesium-137,30 - 35 year average,NA,1,NA,NA,NA,NA,NA,NA,2.4,6.3,NA,2.4,All,NA,NA,NA,NA,NA,NA,"Quine, T. A. and D. E. Walling (1991). ""Rates of soil erosion on arable fields in Britain: quantitative data from caesium-137 measurements."" Soil Use and Management 7(4): 169-176.",http://dx.doi.org/10.1111/j.1475-2743.1991.tb00870.x,NA,NA,NA,0.75611325,52.89393684
378500,295500,26,Hilton experimental site,Shropshire,551a,BRIDGNORTH,5.51,Typical brown sands,Loamy sand,5,NA,NA,14,30,NA,NA,579.2 (a),Arable,Bare,NA,NA,01/12/1985,01/01/1991,1,Plot,Runoff and sediment collection,NA,0.2 (b),NA,NA,11.3,NA,2.17,34.2,NA,NA,NA,NA,11.3,Water,Rills,Convectional intense storms,Soil organic matter,Slope gradient,NA,NA,"Fullen, M. A. (1992). ""Erosion rates on bare loamy sand soils in east Shropshire, UK."" Soil Use and Management 8(4): 157-162.",http://dx.doi.org/10.1111/j.1475-2743.1992.tb00914.x,Mean annual rainfall (mm) at site during study period,Consisting of 8 x 25m2 bounded plots,NA,-2.318553386,52.55690908
378500,295500,27,Hilton experimental site,Shropshire,551a,BRIDGNORTH,5.51,Typical brown sands,Loamy sand,5,NA,31,NA,NA,NA,NA,579.2 (a),Arable,Grassland,NA,NA,01/12/1986,01/12/1992,5,Plot,Runoff and sediment collection,NA,0.0025,NA,NA,<0.008,NA,NA,NA,NA,NA,NA,NA,0.008,Water,Rills and gullies,NA,NA,NA,NA,NA,"Fullen, M. A. (1992). ""Erosion rates on bare loamy sand soils in east Shropshire, UK."" Soil Use and Management 8(4): 157-162.",http://dx.doi.org/10.1111/j.1475-2743.1992.tb00914.x,Mean annual rainfall (mm) at site during study period,NA,NA,-2.318553386,52.55690908
368500,792500,28,NA,ABERDEENSHIRE,NA,COUNTESSWELLS,NA,Humus-iron podzols,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Cereal,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,6.3,NA,NA,NA,7.749,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.520466978,57.02253699
361500,827500,29,NA,ABERDEENSHIRE,NA,INSCH,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Cereal,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,1.6,NA,NA,NA,1.968,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.641180371,57.33638866
378500,782500,30,NA,ABERDEENSHIRE,NA,STONEHAVEN,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Cereal,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,2.1,NA,NA,NA,2.583,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.354904932,56.93328276
359500,799500,31,NA,ABERDEENSHIRE,NA,CORBY,NA,Humus-iron podzols,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Ploughed,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,8.3,NA,NA,NA,10.209,Water,Rills and gullies,Run-on at top of field,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.66982766,57.08471059
361500,827500,32,NA,ABERDEENSHIRE,NA,INSCH,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Oilseed rape,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,6.15,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.641180371,57.33638866
372500,777500,33,NA,ABERDEENSHIRE,NA,BALROWNIE,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Ploughed,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,1.6,NA,NA,NA,1.968,Water,Rills and gullies,Run-on at top of field,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.452947189,56.88804856
366500,749500,34,NA,ANGUS,NA,CORBY,NA,Humus-iron podzols,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Reseeded grass,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,11,NA,NA,NA,13.53,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.547737377,56.6361244
377500,783500,35,NA,ABERDEENSHIRE,NA,GOURDIE,NA,Humus-iron podzols,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Cereal,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,3.5,NA,NA,NA,4.305,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.371425523,56.94221814
379500,781500,36,NA,ABERDEENSHIRE,NA,STONEHAVEN,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Cereal,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,1.9,NA,NA,NA,2.337,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.338392239,56.92434518
378500,782500,37,NA,ABERDEENSHIRE,NA,STONEHAVEN,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Cereal,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,18,NA,NA,NA,22.14,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.354904932,56.93328276
381500,769500,38,NA,NA,NA,STONEHAVEN,NA,Brown earths,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Ploughed,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,3.9,NA,NA,NA,4.797,Water,Rills and gullies,NA,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.304658824,56.81663048
379500,784500,39,NA,ABERDEENSHIRE,NA,GOURDIE,NA,Humus-iron podzols,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arable,Ploughed,NA,NA,1984,1985,1,Field,Volumetric survey,Photo-based volumetric surveys,NA,1,NA,NA,NA,NA,NA,17.2,NA,NA,NA,21.156,Water,Rills and gullies,Run-on at top of field,NA,NA,NA,NA,"Watson, A. and R. Evans (1991). ""A comparison of estimates of soil erosion made in the field and from photographs."" Soil and Tillage Research 19(1): 17-27.",http://www.sciencedirect.com/science/article/pii/0167198791901068,"Soil Survey of Scotland Staff. (1981). Soil maps of Scotland at a scale of 1:250 000. Macaulay Institute for Soil Research, Aberdeen.",NA,NA,-2.33863654,56.95129464
